"Category of States","States","SCs","STs","OBCs","Others","All"
"Non Special Category States","Andhra Pradesh","19.8","7.1","48.4","24.8","100"
"Non Special Category States","Assam","9.2","14","27","49.7","100"
"Non Special Category States","Bihar","20.2","0.9","60.7","18.2","100"
"Non Special Category States","Chhattisgarh","13.7","37.5","41.8","7","100"
"Non Special Category States","Delhi","27.8","0.6","17","54.5","100"
"Non Special Category States","Goa","7.2","1.8","14.8","76.3","100"
"Non Special Category States","Gujarat","11.3","16.5","43","29.2","100"
"Non Special Category States","Haryana","25","0.1","28.1","46.8","100"
"Non Special Category States","Jharkhand","19.1","20.8","31.8","28.4","100"
"Non Special Category States","Karnataka","18.4","6.8","41.1","33.7","100"
"Non Special Category States","Kerala","10.3","1.1","61.5","27","100"
"Non Special Category States","Madhya Pradesh","17.6","22","41.2","19.3","100"
"Non Special Category States","Maharashtra","13.1","8.4","27.1","51.4","100"
"Non Special Category States","Orissa","18.9","23.6","36.7","20.8","100"
"Non Special Category States","Punjab","36.7","0.1","14","49.3","100"
"Non Special Category States","Rajasthan","19.2","13","47.5","20.3","100"
"Non Special Category States","Tamil Nadu","22.8","0.8","70.7","5.7","100"
"Non Special Category States","Uttar Pradesh","25.8","0.8","52.5","20.9","100"
"Non Special Category States","West Bengal","29.2","5.2","5.8","59.8","100"
"Special Category States","Arunachal Pradesh","2.8","70.1","1.8","25.2","100"
"Special Category States","Himachal Pradesh","28.4","5.3","9.8","56.4","100"
"Special Category States","Jammu & Kashmir","11.9","3.3","11.3","73.5","100"
"Special Category States","Manipur","3.1","37.7","48.2","11.1","100"
"Special Category States","Meghalaya","0.6","88.5","1.1","9.8","100"
"Special Category States","Mizoram","0.4","98.9","0.4","0.4","100"
"Special Category States","Nagaland","0.5","96.7","1.7","1.1","100"
"Special Category States","Sikkim","8.1","36","43.2","12.7","100"
"Special Category States","Tripura","18.6","30.1","20.9","30.4","100"
"Special Category States","Uttarakhand","20.7","2.5","22.4","54.3","100"
"Union Territories","Andaman & Nicobar Islands","NA","6.5","19.1","74.4","100"
"Union Territories","Chandigarh","19.8","0.2","15.2","64.9","100"
"Union Territories","Dadra & Nagar Haveli","0.5","75.8","7.9","15.8","100"
"Union Territories","Daman & Diu","6.6","15.6","31.7","46","100"
"Union Territories","Lakshadweep","0.1","95.4","1.6","2.9","100"
"Union Territories","Puducherry","23.6","NA","70.8","5.6","100"
